,locus_tag,cog,essential,y-ome
944,b0463,M,,well-annotated
945,b0574,M,,well-annotated
946,b0795,M,,y-ome
947,b0878,M,,well-annotated
948,b2074,M,,well-annotated
949,b3265,M,,well-annotated
950,b3487,M,,y-ome
951,b3513,M,,well-annotated
952,b0465,D,,well-annotated
953,b4159,M,,well-annotated
954,b0467,L,,well-annotated
955,b0468,S,,y-ome
956,b0469,F,,well-annotated
957,b0470,L,True,well-annotated
958,b0471,R,,y-ome
959,b0472,L,,well-annotated
960,b0473,O,,well-annotated
961,b0474,F,True,well-annotated
962,b0475,H,True,well-annotated
963,b0476,I,,well-annotated
964,b0477,G,,well-annotated
965,b1772,G,,y-ome
966,b2100,G,,y-ome
967,b2166,G,,y-ome
968,b3374,G,,well-annotated
969,b3526,G,,well-annotated
970,b3752,G,,well-annotated
971,b3883,G,,well-annotated
972,b0480,F,,well-annotated
973,b4213,F,,well-annotated
974,b0481,J,,well-annotated
975,b1787,J,,well-annotated
976,b0482,S,,y-ome
977,b0483,V,,y-ome
978,b1477,V,,y-ome
979,b0484,P,,well-annotated
980,b3469,P,,well-annotated
981,b0485,E,,well-annotated
982,b1524,E,,well-annotated
983,b0486,E,,y-ome
984,b0692,E,,well-annotated
985,b0899,E,,y-ome
986,b1296,E,,well-annotated
987,b1492,E,,well-annotated
988,b1605,E,,y-ome
989,b2014,E,,well-annotated
990,b3078,E,,y-ome
991,b3370,E,,y-ome
992,b4115,E,,well-annotated
993,b4132,E,,well-annotated
994,b4141,E,,well-annotated
995,b4156,E,,y-ome
996,b0487,K,,well-annotated
997,b1162,K,,well-annotated
998,b2127,K,,well-annotated
999,b3292,K,,well-annotated
1000,b4063,K,,well-annotated
1001,b0488,O,,y-ome
1002,b0489,O,,y-ome
1003,b4174,O,,well-annotated
1004,b4175,O,,well-annotated
1005,b0490,P,,y-ome
1006,b0491,P,,y-ome
1007,b0492,O,,well-annotated
1008,b2582,O,,well-annotated
1009,b3530,O,,y-ome
1010,b3781,O,,well-annotated
1011,b0493,R,,well-annotated
1012,b0494,E,,well-annotated
1013,b0495,Q,,y-ome
1014,b0496,Q,,y-ome
1015,b0497,R,,y-ome
1016,b0700,R,,y-ome
1017,b3482,R,,y-ome
1018,b3593,R,,y-ome
1019,b0503,J,,well-annotated
1020,b0505,F,,well-annotated
1021,b0507,Q,,well-annotated
1022,b0508,G,,well-annotated
1023,b2739,G,,y-ome
1024,b0509,I,,well-annotated
1025,b2736,I,,y-ome
1026,b3125,I,,well-annotated
1027,b3882,I,,well-annotated
1028,b0511,F,,y-ome
1029,b0512,F,,well-annotated
1030,b2873,F,,well-annotated
1031,b0513,F,,y-ome
1032,b1006,F,,well-annotated
1033,b2497,F,,well-annotated
1034,b2882,F,,well-annotated
1035,b2888,F,,well-annotated
1036,b3654,F,,well-annotated
1037,b0514,G,,well-annotated
1038,b3124,G,,well-annotated
1039,b0515,S,,well-annotated
1040,b0516,E,,well-annotated
1041,b2472,E,True,well-annotated
1042,b2872,E,,y-ome
1043,b3957,E,,well-annotated
1044,b0517,C,,well-annotated
1045,b0801,C,,well-annotated
1046,b3575,C,,well-annotated
1047,b0522,F,,well-annotated
1048,b0523,F,,well-annotated
1049,b0524,M,True,well-annotated
1050,b0525,O,,well-annotated
1051,b3363,O,,well-annotated
1052,b0526,J,True,well-annotated
1053,b0527,R,,y-ome
1054,b1728,R,,y-ome
1055,b0528,J,,y-ome
1056,b0529,H,True,well-annotated
1057,b0535,T,,y-ome
1058,b1040,T,,well-annotated
1059,b1221,T,,well-annotated
1060,b1914,T,,well-annotated
1061,b1916,T,,well-annotated
1062,b1951,T,,well-annotated
1063,b2193,T,,well-annotated
1064,b2217,T,,well-annotated
1065,b2369,T,,well-annotated
1066,b3507,T,,y-ome
1067,b3520,T,,y-ome
1068,b3669,T,,well-annotated
1069,b4365,T,,well-annotated
1070,b4366,T,,well-annotated
1071,b0543,V,,well-annotated
1072,b1599,V,,well-annotated
1073,b1600,V,,well-annotated
1074,b4544,V,,well-annotated
1075,b4148,V,,well-annotated
1076,b0545,R,,y-ome
1077,b0773,R,,y-ome
1078,b0550,L,,well-annotated
1079,b0555,M,,well-annotated
1080,b1554,M,,y-ome
1081,b0558,S,,y-ome
1082,b1161,S,,y-ome
1083,b1549,S,,y-ome
1084,b0560,X,,y-ome
1085,b0565,M,,well-annotated
1086,b0568,R,,y-ome
1087,b2494,R,,well-annotated
1088,b0572,M,,well-annotated
1089,b3035,M,,well-annotated
1090,b4080,M,,well-annotated
1091,b0573,P,,well-annotated
1092,b0575,P,,well-annotated
1093,b0577,M,,well-annotated
1094,b0808,M,,well-annotated
1095,b1330,M,,well-annotated
1096,b2924,M,,well-annotated
1097,b0578,C,,well-annotated
1098,b0851,C,,well-annotated
1099,b1008,C,,y-ome
1100,b1765,C,,y-ome
1101,b0579,K,,y-ome
1102,b4057,K,,y-ome
1103,b0581,O,,well-annotated
1104,b0583,Q,True,well-annotated
1105,b0584,P,,well-annotated
1106,b1495,P,,y-ome
1107,b2155,P,,well-annotated
1108,b0585,P,,well-annotated
1109,b3719,P,,y-ome
1110,b4511,S,,well-annotated
1111,b0586,Q,,well-annotated
1112,b0587,M,,y-ome
1113,b2027,M,,y-ome
1114,b3785,M,,well-annotated
1115,b0589,P,,well-annotated
1116,b0591,G,,well-annotated
1117,b0898,G,,y-ome
1118,b1065,G,,well-annotated
1119,b1981,G,,well-annotated
1120,b2367,G,,y-ome
1121,b2587,G,,well-annotated
1122,b2771,G,,y-ome
1123,b2835,G,,well-annotated
1124,b3473,G,,y-ome
1125,b3523,G,,y-ome
1126,b3754,G,,y-ome
1127,b4111,G,,well-annotated
1128,b4332,G,,y-ome
1129,b0592,P,,well-annotated
1130,b0593,H,,well-annotated
1131,b2265,H,,well-annotated
1132,b0594,Q,,well-annotated
1133,b0595,Q,,well-annotated
1134,b0596,I,,well-annotated
1135,b1093,I,True,well-annotated
1136,b1271,I,,y-ome
1137,b1606,I,,well-annotated
1138,b1619,I,,well-annotated
1139,b2137,I,,y-ome
1140,b2426,I,,y-ome
1141,b2541,I,,well-annotated
1142,b2705,I,,well-annotated
1143,b2774,I,,y-ome
1144,b2842,I,,well-annotated
1145,b2902,I,,y-ome
1146,b3003,I,,well-annotated
1147,b4249,I,,well-annotated
1148,b4266,I,,well-annotated
1149,b0597,Q,,well-annotated
1150,b1396,Q,,well-annotated
1151,b1686,Q,,well-annotated
1152,b3820,Q,,y-ome
1153,b3888,Q,,y-ome
1154,b0598,T,,well-annotated
1155,b4354,T,,well-annotated
1156,b4512,S,,y-ome
1157,b4353,S,,y-ome
1158,b0599,C,,well-annotated
1159,b3945,C,,well-annotated
1160,b0600,E,,well-annotated
1161,b2290,E,,well-annotated
1162,b2379,E,,well-annotated
1163,b0601,D,,y-ome
1164,b1365,D,,y-ome
1165,b0602,R,,y-ome
1166,b0604,O,,well-annotated
1167,b2893,O,,well-annotated
1168,b3860,O,,well-annotated
1169,b0605,V,,well-annotated
1170,b0606,V,,well-annotated
1171,b0607,T,,well-annotated
1172,b1333,T,,y-ome
1173,b1376,T,,y-ome
1174,b1895,T,,well-annotated
1175,b3495,T,,well-annotated
1176,b3923,T,,y-ome
1177,b0608,E,,y-ome
1178,b1313,E,,y-ome
1179,b1580,E,,y-ome
1180,b1774,E,,y-ome
1181,b1776,E,,y-ome
1182,b2091,E,,well-annotated
1183,b2545,E,,y-ome
1184,b4465,E,,y-ome
1185,b3616,E,,well-annotated
1186,b4267,E,,well-annotated
1187,b4358,E,,well-annotated
1188,b0610,K,,well-annotated
1189,b3181,K,,well-annotated
1190,b3406,K,,well-annotated
1191,b0611,J,,well-annotated
1192,b0612,G,,well-annotated
1193,b0770,G,,y-ome
1194,b2292,G,,y-ome
1195,b3063,G,,well-annotated
1196,b0613,H,,well-annotated
1197,b0614,H,,well-annotated
1198,b0615,C,,well-annotated
1199,b0616,G,,well-annotated
1200,b0617,C,,well-annotated
1201,b0618,C,,well-annotated
1202,b0619,T,,well-annotated
1203,b4125,T,,well-annotated
1204,b0620,K,,well-annotated
1205,b4124,K,,well-annotated
1206,b0621,C,,well-annotated
1207,b3227,C,,y-ome
1208,b0623,K,,well-annotated
1209,b0880,K,,well-annotated
1210,b0989,K,,y-ome
1211,b0990,K,,y-ome
1212,b1552,K,,y-ome
1213,b1557,K,,well-annotated
1214,b1558,K,,y-ome
1215,b1823,K,,well-annotated
1216,b3556,K,,well-annotated
1217,b0624,D,,well-annotated
1218,b0627,U,,well-annotated
1219,b3836,U,,well-annotated
1220,b3838,U,,well-annotated
1221,b0628,H,,well-annotated
1222,b0630,H,,well-annotated
1223,b0631,T,,y-ome
1224,b0632,M,,well-annotated
1225,b0839,M,,well-annotated
1226,b2010,M,,well-annotated
1227,b2134,M,,well-annotated
1228,b0633,M,,well-annotated
1229,b3933,D,True,well-annotated
1230,b0636,J,,well-annotated
1231,b0637,J,,well-annotated
1232,b0638,G,,y-ome
1233,b2252,G,,y-ome
1234,b4395,G,,y-ome
1235,b0639,H,True,well-annotated
1236,b0640,L,True,well-annotated
1237,b0641,M,True,well-annotated
1238,b0642,J,True,well-annotated
1239,b0644,T,,y-ome
1240,b0647,T,,y-ome
1241,b3596,T,,y-ome
1242,b4078,T,,y-ome
1243,b0646,K,,y-ome
1244,b0652,E,,well-annotated
1245,b0809,E,,well-annotated
1246,b1917,E,,well-annotated
1247,b3271,E,,y-ome
1248,b0653,E,,well-annotated
1249,b0654,E,,well-annotated
1250,b0810,E,,well-annotated
1251,b1918,E,,well-annotated
1252,b3270,E,,y-ome
1253,b0655,E,,well-annotated
1254,b0811,E,,well-annotated
1255,b0860,E,,well-annotated
1256,b0863,E,,y-ome
1257,b1920,E,,well-annotated
1258,b2309,E,,well-annotated
1259,b2310,E,,well-annotated
1260,b2370,E,,well-annotated
1261,b0657,M,True,well-annotated
1262,b0658,P,,y-ome
1263,b0659,J,,well-annotated
1264,b0660,T,,y-ome
1265,b1020,T,,y-ome
1266,b0661,J,,well-annotated
1267,b0835,J,,well-annotated
1268,b0674,E,,well-annotated
1269,b0675,F,,well-annotated
1270,b1530,K,,well-annotated
1271,b1642,K,,well-annotated
1272,b2684,K,,well-annotated
1273,b0677,G,,well-annotated
1274,b4328,G,,well-annotated
1275,b0678,G,,well-annotated
1276,b3141,G,,y-ome
1277,b3718,G,,y-ome
1278,b0679,G,,well-annotated
1279,b1101,G,,well-annotated
1280,b1621,G,,well-annotated
1281,b2429,G,,well-annotated
1282,b2715,G,,excluded
1283,b3722,G,,well-annotated
1284,b4240,G,,well-annotated
1285,b2417,G,,well-annotated
1286,b0683,P,,well-annotated
1287,b4046,P,,well-annotated
1288,b0684,C,True,well-annotated
1289,b2790,C,,y-ome
1290,b2895,C,,y-ome
1291,b3742,C,,well-annotated
1292,b0687,L,,well-annotated
1293,b0688,G,,well-annotated
1294,b0695,T,,well-annotated
1295,b0993,T,,well-annotated
1296,b1129,T,,well-annotated
1297,b1609,T,,well-annotated
1298,b1968,T,,well-annotated
1299,b2218,T,,well-annotated
1300,b2556,T,,well-annotated
1301,b2786,T,,well-annotated
1302,b3210,T,,well-annotated
1303,b3404,T,,well-annotated
1304,b3911,T,,well-annotated
1305,b4399,T,,well-annotated
1306,b0696,P,,well-annotated
1307,b0697,P,,well-annotated
1308,b0698,P,,well-annotated
1309,b0706,X,,y-ome
1310,b1460,X,,y-ome
1311,b3484,X,,y-ome
1312,b0707,S,,y-ome
1313,b0708,L,,well-annotated
1314,b0709,E,,well-annotated
1315,b1634,E,,well-annotated
1316,b3496,E,,well-annotated
1317,b4130,E,,well-annotated
1318,b0710,H,,well-annotated
1319,b0711,E,,y-ome
1320,b0712,E,,y-ome
1321,b0713,R,,y-ome
1322,b0714,L,,well-annotated
1323,b3635,L,,well-annotated
1324,b0715,R,,y-ome
1325,b0721,C,,well-annotated
1326,b0722,C,,well-annotated
1327,b0723,C,,well-annotated
1328,b4154,C,,well-annotated
1329,b0724,C,,well-annotated
1330,b4153,C,,well-annotated
1331,b0726,C,,well-annotated
1332,b0728,C,,well-annotated
1333,b2584,C,,well-annotated
1334,b0730,K,,well-annotated
1335,b2101,K,,y-ome
1336,b3375,K,,y-ome
1337,b3684,K,,y-ome
1338,b3872,K,,y-ome
1339,b4102,K,,y-ome
1340,b0731,G,,well-annotated
1341,b2167,G,,well-annotated
1342,b2386,G,,y-ome
1343,b3899,G,,y-ome
1344,b3949,G,,y-ome
1345,b2387,G,,y-ome
1346,b3950,G,,y-ome
1347,b3953,G,,y-ome
1348,b2094,G,,well-annotated
1349,b2383,G,,y-ome
1350,b2934,G,,y-ome
1351,b3204,G,,well-annotated
1352,b3897,G,,y-ome
1353,b3900,G,,y-ome
1354,b3947,G,,y-ome
1355,b4195,G,,well-annotated
1356,b4302,G,,y-ome
1357,b0732,G,,well-annotated
1358,b0733,C,True,well-annotated
1359,b0978,C,,well-annotated
1360,b0734,C,,well-annotated
1361,b0979,C,,well-annotated
1362,b4515,S,,well-annotated
1363,b0735,S,,y-ome
1364,b0737,U,,well-annotated
1365,b3006,U,,well-annotated
1366,b0738,U,,well-annotated
1367,b3005,U,,well-annotated
1368,b0740,U,,well-annotated
1369,b3689,U,,y-ome
1370,b0741,M,,well-annotated
1371,b0957,M,,well-annotated
1372,b2605,M,,y-ome
1373,b3552,M,,y-ome
1374,b0742,R,,well-annotated
1375,b0750,H,,well-annotated
1376,b0751,H,,well-annotated
1377,b0752,P,,well-annotated
1378,b0754,E,,well-annotated
1379,b1704,E,,well-annotated
1380,b2601,E,,well-annotated
1381,b0755,G,,well-annotated
1382,b0756,G,,well-annotated
1383,b2544,G,,y-ome
1384,b3879,G,,y-ome
1385,b0757,G,,well-annotated
1386,b0758,G,,well-annotated
1387,b0759,M,,well-annotated
1388,b0760,P,,y-ome
1389,b0761,K,,well-annotated
1390,b0763,P,,well-annotated
1391,b0764,P,,well-annotated
1392,b0765,P,,well-annotated
1393,b0767,G,,well-annotated
1394,b0769,C,,y-ome
1395,b0771,C,,y-ome
1396,b1276,C,,well-annotated
1397,b0772,G,,y-ome
1398,b0774,H,,well-annotated
1399,b0775,H,,well-annotated
1400,b3990,H,,well-annotated
1401,b0776,H,,well-annotated
1402,b3617,H,,well-annotated
1403,b0778,H,,well-annotated
1404,b1593,H,,y-ome
1405,b0779,L,,well-annotated
1406,b0780,H,,y-ome
1407,b0781,H,,well-annotated
1408,b0783,H,,well-annotated
1409,b0784,H,,well-annotated
1410,b0785,H,,well-annotated
1411,b0786,R,,y-ome
1412,b0787,R,,y-ome
1413,b0970,R,,well-annotated
1414,b0788,S,,y-ome
1415,b0789,I,,well-annotated
1416,b1046,I,,well-annotated
1417,b1249,I,,well-annotated
1418,b2585,I,True,well-annotated
1419,b0790,R,,y-ome
1420,b0797,L,,well-annotated
1421,b1343,L,,well-annotated
1422,b2576,L,,well-annotated
1423,b3162,L,,well-annotated
1424,b3780,L,,well-annotated
1425,b0798,O,,y-ome
1426,b0799,L,,well-annotated
1427,b1808,L,,y-ome
1428,b0800,E,,y-ome
1429,b1263,E,,well-annotated
1430,b0804,R,,y-ome
1431,b0807,J,,well-annotated
1432,b0812,P,,well-annotated
1433,b0813,E,,well-annotated
1434,b0814,M,,y-ome
1435,b0815,M,,well-annotated
1436,b3173,M,,y-ome
1437,b3546,M,,well-annotated
1438,b3955,M,,well-annotated
1439,b4114,M,,well-annotated
1440,b0817,K,,well-annotated
1441,b0818,P,,y-ome
1442,b3502,P,,well-annotated
1443,b0819,M,,well-annotated
1444,b1678,M,,well-annotated
1445,b1990,M,,well-annotated
1446,b0820,R,,y-ome
1447,b0949,R,,well-annotated
1448,b3352,R,,y-ome
1449,b4391,R,,well-annotated
1450,b0823,C,,y-ome
1451,b0903,C,,well-annotated
1452,b3114,C,,well-annotated
1453,b3951,C,,y-ome
1454,b0824,O,,y-ome
1455,b0902,O,,well-annotated
1456,b3952,O,,y-ome
1457,b4379,O,,y-ome
1458,b0826,H,,well-annotated
1459,b3992,H,,well-annotated
1460,b0827,H,,well-annotated
1461,b0828,E,,well-annotated
1462,b0829,Q,,well-annotated
1463,b2180,Q,,y-ome
1464,b0830,E,,well-annotated
1465,b1487,E,,y-ome
1466,b3476,E,,well-annotated
1467,b3544,E,,well-annotated
1468,b0831,E,,well-annotated
1469,b1244,E,,well-annotated
1470,b1486,E,,y-ome
1471,b3477,E,,well-annotated
1472,b3543,E,,well-annotated
1473,b0832,E,,well-annotated
1474,b1245,E,,well-annotated
1475,b1485,E,,y-ome
1476,b3478,E,,well-annotated
1477,b3542,E,,well-annotated
1478,b0834,T,,y-ome
1479,b1522,T,,y-ome
1480,b1785,T,,y-ome
1481,b1786,T,,y-ome
1482,b1794,T,,well-annotated
1483,b2604,T,,well-annotated
1484,b0837,G,,well-annotated
1485,b0838,O,,well-annotated
1486,b1454,O,,y-ome
1487,b1635,O,,well-annotated
1488,b2301,O,,well-annotated
1489,b2302,O,,well-annotated
1490,b2989,O,,well-annotated
1491,b3229,O,,well-annotated
1492,b3592,O,,y-ome
1493,b0840,K,,well-annotated
1494,b1284,K,,y-ome
1495,b1770,K,,y-ome
1496,b2707,K,,well-annotated
1497,b2735,K,,y-ome
1498,b2805,K,,well-annotated
1499,b3131,K,,well-annotated
1500,b3884,K,,y-ome
1501,b4191,K,,well-annotated
1502,b4300,K,,y-ome
1503,b0841,I,,well-annotated
1504,b1278,I,,well-annotated
1505,b1411,I,,y-ome
1506,b2174,I,,well-annotated
1507,b0845,G,,y-ome
1508,b1690,G,,y-ome
1509,b2801,G,,well-annotated
1510,b3364,G,,y-ome
1511,b0846,K,,well-annotated
1512,b0847,P,,y-ome
1513,b3290,P,,well-annotated
1514,b3685,P,,y-ome
1515,b0849,O,,well-annotated
1516,b2673,O,,well-annotated
1517,b3610,O,,well-annotated
1518,b0852,H,,well-annotated
1519,b2947,H,,well-annotated
1520,b0854,E,,well-annotated
1521,b1123,E,,well-annotated
1522,b1440,E,,well-annotated
1523,b0856,E,,well-annotated
1524,b1125,E,,well-annotated
1525,b1442,E,,y-ome
1526,b0857,E,,well-annotated
1527,b1124,E,,well-annotated
1528,b1443,E,,y-ome
1529,b0859,J,,well-annotated
1530,b2785,J,,well-annotated
1531,b3965,J,,well-annotated
1532,b0861,E,,well-annotated
1533,b2307,E,,well-annotated
1534,b0862,E,,well-annotated
1535,b2308,E,,well-annotated
1536,b0864,E,,well-annotated
1537,b0866,S,,y-ome
1538,b0868,M,,y-ome
1539,b2016,M,,y-ome
1540,b2052,M,,well-annotated
1541,b2255,M,,well-annotated
1542,b3619,M,,well-annotated
1543,b0869,R,,y-ome
1544,b3152,R,,y-ome
1545,b4211,R,,well-annotated
1546,b0870,E,,well-annotated
1547,b0872,C,,well-annotated
1548,b1392,C,,well-annotated
1549,b1803,C,,well-annotated
1550,b2236,C,,well-annotated
1551,b2552,C,,well-annotated
1552,b3924,C,,well-annotated
1553,b0873,P,,well-annotated
1554,b0874,S,,well-annotated
1555,b0875,G,,well-annotated
1556,b3927,G,,well-annotated
1557,b0876,L,,y-ome
1558,b0877,S,,y-ome
1559,b0879,V,,well-annotated
1560,b1117,M,True,well-annotated
1561,b0881,O,,well-annotated
1562,b0882,O,,well-annotated
1563,b2592,O,,well-annotated
1564,b0884,J,True,well-annotated
1565,b0885,O,,well-annotated
1566,b0886,C,True,well-annotated
1567,b0887,C,,well-annotated
1568,b0888,O,,well-annotated
1569,b0891,M,True,well-annotated
1570,b0892,L,,well-annotated
1571,b0893,J,True,well-annotated
1572,b0894,C,,well-annotated
1573,b0997,C,,well-annotated
1574,b1474,C,,well-annotated
1575,b1501,C,,y-ome
1576,b1587,C,,y-ome
1577,b1588,C,,y-ome
1578,b1872,C,,well-annotated
1579,b2206,C,,well-annotated
1580,b3551,C,,well-annotated
1581,b3894,C,,well-annotated
1582,b0895,C,,well-annotated
1583,b1475,C,,well-annotated
1584,b1589,C,,y-ome
1585,b1671,C,,y-ome
1586,b1674,C,,y-ome
1587,b2996,C,,well-annotated
1588,b3893,C,,well-annotated
1589,b4072,C,,y-ome
1590,b0896,C,,well-annotated
1591,b1590,C,,well-annotated
1592,b0897,H,,y-ome
1593,b1011,H,,well-annotated
1594,b1768,H,,well-annotated
1595,b1867,H,,y-ome
1596,b0904,P,,well-annotated
1597,b2347,P,,y-ome
1598,b2492,P,,y-ome
1599,b3367,P,,well-annotated
1600,b0905,J,,well-annotated
1601,b0906,S,,y-ome
1602,b0907,H,,well-annotated
1603,b0908,E,,well-annotated
1604,b0909,O,,y-ome
1605,b1829,O,,well-annotated
1606,b2936,O,,well-annotated
1607,b0910,F,,well-annotated
1608,b0911,J,True,well-annotated
1609,b3407,K,,y-ome
1610,b0913,R,,y-ome
1611,b0915,M,True,well-annotated
1612,b0916,R,,y-ome
1613,b0917,S,,y-ome
1614,b0918,M,True,well-annotated
1615,b0919,R,,y-ome
1616,b0920,R,,y-ome
1617,b1414,R,,y-ome
1618,b0921,H,,well-annotated
1619,b1137,H,,y-ome
1620,b2232,H,,well-annotated
1621,b0922,D,True,well-annotated
1622,b0923,D,True,well-annotated
1623,b0924,D,True,well-annotated
1624,b0925,M,,well-annotated
1625,b0926,S,,y-ome
1626,b0928,E,,well-annotated
1627,b4054,E,,well-annotated
1628,b0930,J,True,well-annotated
1629,b0931,H,,well-annotated
1630,b0932,E,,well-annotated
1631,b0933,P,,well-annotated
1632,b0935,H,,well-annotated
1633,b1012,H,,well-annotated
1634,b3160,H,,y-ome
1635,b0936,P,,well-annotated
1636,b0937,C,,well-annotated
1637,b2050,C,,y-ome
1638,b3713,C,,well-annotated
1639,b0945,F,,well-annotated
1640,b2147,F,,well-annotated
1641,b0947,C,,y-ome
1642,b2525,C,,well-annotated
1643,b0948,J,,well-annotated
1644,b0967,J,,well-annotated
1645,b0950,S,,y-ome
1646,b1833,S,,y-ome
1647,b0951,M,,y-ome
1648,b3193,M,,well-annotated
1649,b1834,S,,y-ome
1650,b0952,S,,y-ome
1651,b0953,J,,well-annotated
1652,b0955,O,,y-ome
1653,b0956,L,,well-annotated
1654,b0958,D,,well-annotated
1655,b0959,K,,well-annotated
1656,b0960,S,,y-ome
1657,b1645,S,,y-ome
1658,b2008,S,,y-ome
1659,b3240,S,,well-annotated
1660,b3358,S,,y-ome
1661,b4081,S,,well-annotated
1662,b0961,S,,y-ome
1663,b0962,L,,well-annotated
1664,b3778,L,,well-annotated
1665,b3813,L,,well-annotated
1666,b0963,G,,well-annotated
1667,b0964,S,,y-ome
1668,b0965,R,,y-ome
1669,b0966,O,,y-ome
1670,b0968,C,,well-annotated
1671,b0969,P,,well-annotated
1672,b0972,C,,well-annotated
1673,b2997,C,,well-annotated
1674,b0973,C,,well-annotated
1675,b2994,C,,well-annotated
1676,b0974,C,,well-annotated
1677,b0975,C,,y-ome
1678,b2717,C,,well-annotated
1679,b2993,C,,y-ome
1680,b0976,O,,y-ome
1681,b0981,D,,well-annotated
1682,b2060,D,,well-annotated
1683,b2113,D,,y-ome
1684,b0982,T,,well-annotated
1685,b2061,T,,well-annotated
1686,b0983,M,,y-ome
1687,b2062,M,,well-annotated
1688,b0992,C,,y-ome
1689,b2204,C,,well-annotated
1690,b1888,T,,well-annotated
1691,b2216,T,,well-annotated
1692,b0994,G,,well-annotated
1693,b1516,G,,well-annotated
1694,b1901,G,,well-annotated
1695,b2150,G,,well-annotated
1696,b2548,G,,y-ome
1697,b3751,G,,well-annotated
1698,b4088,G,,well-annotated
1699,b4227,G,,well-annotated
1700,b0996,C,,well-annotated
1701,b1873,C,,well-annotated
1702,b2202,C,,well-annotated
1703,b0998,O,,well-annotated
1704,b1035,O,,well-annotated
1705,b1591,O,,well-annotated
1706,b1004,C,,well-annotated
1707,b4518,R,,y-ome
1708,b1259,R,,y-ome
1709,b1007,C,,well-annotated
1710,b1462,C,,y-ome
1711,b1009,E,,y-ome
1712,b1010,V,,y-ome
1713,b1809,V,,y-ome
1714,b3113,V,True,y-ome
1715,b4243,V,,well-annotated
1716,b4248,V,,y-ome
1717,b1014,E,,well-annotated
1718,b1015,E,,well-annotated
1719,b1018,P,,well-annotated
1720,b1019,P,,well-annotated
1721,b2431,P,,well-annotated
1722,b1491,S,,y-ome
1723,b1024,R,,well-annotated
1724,b2549,R,,y-ome
1725,b2852,R,,y-ome
1726,b1033,H,,well-annotated
1727,b2320,H,,well-annotated
1728,b2913,H,,well-annotated
1729,b1034,E,,y-ome
1730,b1037,M,,well-annotated
1731,b1045,J,,well-annotated
1732,b1047,M,,well-annotated
1733,b1048,M,,well-annotated
1734,b1424,M,,well-annotated
1735,b1049,M,,well-annotated
1736,b1050,S,,y-ome
1737,b3688,S,,y-ome
1738,b1054,I,,well-annotated
1739,b1855,I,,well-annotated
1740,b2378,I,,well-annotated
1741,b1055,R,,y-ome
1742,b1056,R,,y-ome
1743,b1057,C,,y-ome
1744,b1418,C,,well-annotated
1745,b1974,C,,y-ome
1746,b1059,E,,well-annotated
1747,b1189,E,,well-annotated
1748,b1301,E,,well-annotated
1749,b2324,E,,well-annotated
1750,b1062,F,,well-annotated
1751,b1064,O,,well-annotated
1752,b1066,J,,well-annotated
1753,b1427,J,,well-annotated
1754,b1584,J,,well-annotated
1755,b1067,S,,y-ome
1756,b1068,R,,y-ome
1757,b1315,R,,y-ome
1758,b1624,R,,y-ome
1759,b3087,R,,y-ome
1760,b3440,R,,y-ome
1761,b4280,R,,y-ome
1762,b1069,M,True,well-annotated
1763,b1070,N,,y-ome
1764,b1071,K,,well-annotated
1765,b1072,N,,y-ome
1766,b1073,N,,well-annotated
1767,b1074,N,,well-annotated
1768,b1075,N,,y-ome
1769,b1076,N,,well-annotated
1770,b1077,N,,well-annotated
1771,b1078,N,,well-annotated
1772,b1079,N,,well-annotated
1773,b1080,N,,well-annotated
1774,b1081,M,,y-ome
1775,b1082,N,,well-annotated
1776,b1083,N,,well-annotated
1777,b1923,N,,well-annotated
1778,b1084,J,True,well-annotated
1779,b3247,J,,well-annotated
1780,b1087,Q,,well-annotated
1781,b3248,Q,,well-annotated
1782,b1088,S,,y-ome
1783,b1089,J,,well-annotated
1784,b1090,I,,y-ome
1785,b1091,I,,well-annotated
1786,b1092,I,True,well-annotated
1787,b1094,I,True,well-annotated
1788,b1095,I,,well-annotated
1789,b2323,I,True,well-annotated
1790,b1096,E,,well-annotated
1791,b3770,E,,well-annotated
1792,b1097,D,,well-annotated
1793,b1098,F,True,well-annotated
1794,b2984,F,,y-ome
1795,b2985,F,,y-ome
1796,b2986,F,,y-ome
1797,b1099,L,True,well-annotated
1798,b1100,N,,y-ome
1799,b4483,N,,well-annotated
1800,b4378,N,,y-ome
1801,b1102,P,,well-annotated
1802,b1103,F,,well-annotated
1803,b1104,S,,y-ome
1804,b1105,M,,well-annotated
1805,b1106,H,,well-annotated
1806,b1107,G,,well-annotated
1807,b2132,G,,well-annotated
1808,b1108,R,,y-ome
1809,b3031,R,,well-annotated
1810,b1109,C,,well-annotated
1811,b1110,S,,y-ome
1812,b1114,L,,well-annotated
1813,b1115,S,,y-ome
1814,b1116,M,True,well-annotated
1815,b1118,M,True,well-annotated
1816,b1120,O,,well-annotated
1817,b1121,S,,y-ome
1818,b2778,S,,y-ome
1819,b1128,J,,well-annotated
1820,b1131,F,True,well-annotated
1821,b1132,X,,well-annotated
1822,b1133,J,,well-annotated
1823,b1134,F,,well-annotated
1824,b2051,F,,well-annotated
1825,b1135,J,,well-annotated
1826,b1269,J,,well-annotated
1827,b2183,J,,well-annotated
1828,b4022,J,,well-annotated
1829,b1136,C,,well-annotated
1830,b1145,K,True,y-ome
1831,b1183,K,,well-annotated
1832,b4043,K,True,well-annotated
1833,b1146,K,,y-ome
1834,b1357,K,,y-ome
