,gene_name,synonyms,gene_product,COG,regulator,uniprot,left,right,strand,essential,core_genome,iML1515,oxidizeME,DGF_strain,MS57,pseudogene,y_ome,k_eff,schmidt_prot_med,heckmann_prot_med,proteomics,p1k,p1k_ctrl_log_tpm,p1k_median_log_tpm,p1k_mad_log_tpm,in_iM,median_log_tpm,mad_log_tpm,pct10_log_tpm,pct25_log_tpm,max_log_tpm,min_log_tpm,mean_log_tpm,skew,range_log_tpm,max_to_median,min_to_median,low,in_complex
b0674,asnB,asnB,asparagine synthetase B,Amino acid transport and metabolism,"GadX,ppGpp,Lrp,gcvB",P22106,697513,699177,-,False,False,True,True,True,True,False,False,True,977.5,1364.0,True,True,7.149396585,7.304204216,0.6505202300183988,True,7.304204216,0.43876988399999917,6.057853757160729,6.8047195945345855,11.51576301,3.471770115,7.24140328498102,0.23108300916252905,8.043992895,4.211558794000001,-3.8324341009999996,False,False
b0675,umpH,nagD,UMP phosphatase,Carbohydrate transport and metabolism,"RpoD,Crp,NagC",P0AF24,699574,700326,-,False,False,True,False,True,True,False,False,False,,,False,True,7.348863792499999,7.206452447999999,0.4729946978778002,False,7.206452447999999,0.31903055300000016,6.175087156,6.749677308952101,8.482504732999999,4.358354734,7.047066216146186,-1.1255104278294734,4.124149998999999,1.2760522849999996,-2.8480977139999997,False,True
b0676,nagC,nagC;nagR,DNA-binding transcriptional dual regulator NagC,Transcription,"RpoD,Crp,NagC",P0AF20,700374,701594,-,False,False,False,False,True,True,False,False,True,137.0,267.0,True,True,6.774656225499999,6.567718719,0.4076142094129136,True,6.567718719,0.274932017680368,6.0359257014,6.305318196,9.689726034,4.165255594,6.573017645244364,0.03033879650347629,5.52447044,3.1220073149999994,-2.4024631250000006,False,True
b0677,nagA,nagA,N-acetylglucosamine-6-phosphate deacetylase,Carbohydrate transport and metabolism,"RpoD,Crp,PhoP,NagC",P0AF18,701603,702751,-,False,False,True,True,True,True,False,False,True,421.0,265.0,True,True,6.552075386499999,6.610448915,0.4527166002491598,True,6.610448915,0.305353163529718,6.0230717218,6.2941794775,11.18601383,4.307515804,6.662283274440648,2.1768919886634674,6.878498026,4.575564915,-2.3029331109999998,False,True
b0678,nagB,nagB;glmD,glucosamine-6-phosphate deaminase,Nucleotide transport and metabolism,"RpoD,Crp,NagC",P0A759,702811,703611,-,False,False,True,True,True,True,False,False,True,772.0,715.0,True,True,6.697045278499999,6.748837832,0.7762877973395985,True,6.748837832,0.523598945999999,5.6171470353999995,6.122973291999999,12.8396867,3.769635504,6.752081162889381,1.731897836245874,9.070051196,6.090848867999999,-2.9792023280000004,False,True
b0679,nagE,nagE;pstN,N-acetylglucosamine specific PTS enzyme IIABC component,Carbohydrate transport and metabolism,"RpoD,Crp,NagC",P09323,703944,705890,+,False,False,True,True,True,True,False,False,True,575.5,484.0,True,True,5.934280694,6.085588372999999,0.797184378652199,True,6.085588372999999,0.5376934969999994,5.273110782366438,5.652221631,12.36497546,3.614004898,6.314003583013004,1.7117950844846777,8.750970562,6.279387087000001,-2.471583474999999,False,False
b0680,glnS,glnS,glutamine--tRNA ligase,"Translation, ribosomal structure and biogenesis","RpoD,RpoH",P00962,706093,707757,+,True,True,False,True,True,True,False,False,True,722.0,1637.0,True,True,8.717335420000001,8.355259241,0.3650509492392005,False,8.355259241,0.24622349200000038,7.622657721308929,7.9831401500000005,9.561725221,6.315629874,8.23790667801612,-1.0032261534743867,3.246095347,1.206465979999999,-2.0396293670000007,False,True
b0681,chiP,chiP;ybfM,chitobiose outer membrane channel,Cell wall/membrane/envelope biogenesis,"Crp,NagC,ChiX",P75733,708334,709740,+,False,False,True,False,True,True,False,False,False,,,False,True,1.705147049,2.069547821,0.8264174122007997,True,2.069547821,0.5574109079999998,1.282933306515294,1.5892184735,9.426491044,0.191155765,2.305624793422137,1.1608109108668294,9.235335279000001,7.356943223,-1.878392056,False,True
b0682,chiQ,chiQ;ybfN,lipoprotein ChiQ,Cell wall/membrane/envelope biogenesis,"Crp,ppGpp,NagC,ChiX",P75734,709790,710116,+,False,False,False,False,True,True,False,True,False,,,False,True,1.681566661,2.73124939356688,0.6907887824748566,True,2.73124939356688,0.46593065052937854,1.7825914133358682,2.2011824835000002,8.314820667000001,0.0,2.696808029258443,0.34191526556434887,8.314820667000001,5.583571273433121,-2.73124939356688,False,True
b0683,fur,fur,DNA-binding transcriptional dual regulator Fur,Transcription,"RpoD,Crp,OxyR,SoxS,Fur,ryhB",P0A9A9,710200,710646,-,False,False,False,False,True,True,False,False,True,5712.5,1758.0,True,True,9.893921886,9.756415474330966,0.3592873888290991,True,9.757747524,0.24183830100000137,,,12.58488905,8.461710409,9.864809189056404,1.5516687891175325,4.123178640999999,2.827141526,-1.296037114999999,False,True
b0684,fldA,fldA,flavodoxin 1,Energy production and conversion,SoxS,P61949,710935,711465,-,True,False,True,True,True,True,False,False,True,8120.0,2018.0,True,True,9.122011211,9.040435302,0.3381981990093012,True,9.040435302,0.22811156010340028,8.5845406014,8.820693007500001,11.82760172,7.677861926,9.164537566336831,1.7155797658094,4.149739794,2.787166418,-1.3625733760000003,False,False
b0685,ybfE,ybfE,LexA-regulated protein,Function unknown,"RpoH,LexA,ppGpp",P0AAU7,711605,711898,-,False,False,False,False,True,True,False,True,False,,,False,True,6.1521934075,6.275650196,0.5950528948853989,False,6.275650196,0.4013576789999993,5.372179681304409,5.840763677349585,8.456159356,2.893165825,6.221733166947308,-0.5291616317476662,5.562993531,2.1805091600000006,-3.382484371,False,False
b0686,ybfF,ybfF,esterase,Function unknown,,P75736,712038,712802,-,False,False,False,False,True,True,False,False,True,176.5,237.0,True,True,6.021121659,5.8814835620000006,0.3295352899608013,True,5.8814835620000006,0.22226850800000086,5.3758854736,5.632398436999999,7.387271319,3.730495057,5.846363019976646,-0.5201859030789691,3.6567762619999997,1.5057877569999993,-2.1509885050000004,False,False
b0687,seqA,seqA,SeqA%2C negative modulator of initiation of replication,"Replication, recombination and repair",HU,P0AFY8,712987,713532,+,False,False,False,False,True,True,False,False,True,1057.0,624.0,True,True,8.6763449995,8.305323142999999,0.4654114657458025,False,8.305323142999999,0.31391573300000175,7.482350656029829,7.9051243965,9.241962923191515,6.604708089,8.210762449060642,-0.7406459981001247,2.6372548341915154,0.9366397801915163,-1.7006150539999991,False,False
b0688,pgm,pgm,phosphoglucomutase,Carbohydrate transport and metabolism,HU,P36938,713558,715198,+,False,False,True,True,True,True,False,False,True,1356.0,1265.0,True,True,8.4560134705,8.094805036618924,0.3510387667353838,False,8.094805036618924,0.23677240438107638,7.23022508675657,7.7968163645,9.525578865,5.777777953538754,7.980326036162598,-1.292778929805148,3.747800911461246,1.430773828381076,-2.31702708308017,False,False
b0689,ybfP,ybfP,lipoprotein YbfP,No COG annotation,,P75737,715412,715906,+,False,False,False,False,True,True,False,True,False,,,False,True,3.7696846485,3.4599063180000003,0.7707733779405211,False,3.4599063180000003,0.5198795210714429,2.195273448144955,2.8926721585,6.231329866,0.0,3.385254870691817,-0.40995578410154654,6.231329866,2.771423548,-3.4599063180000003,False,False
b0691,ybfG,ybfG,PF10964 domain-containing protein YbfG,Function unknown,RpoE,,715947,716597,-,False,False,False,False,True,True,True,False,False,,,False,True,2.344120005,1.542430887,0.7513764725316476,True,1.542430887,0.506796487610716,0.612731743,1.0017975045,5.018841785,0.0,1.528944742042769,0.42125890906118696,5.018841785,3.476410898,-1.542430887,True,False
b0692,potE,potE,putrescine:H(+) symporter/putrescine:ornithine antiporter PotE,Amino acid transport and metabolism,"YbaQ,OmpR",P0AAF1,716946,718265,-,False,False,True,True,True,True,False,False,False,,,False,True,2.7777604315,3.07528864684312,0.6299971687868098,False,3.07528864684312,0.42492726884312004,2.299929767,2.6534946230000003,4.9658265980000005,1.18736407,3.0682360803204936,-0.03916643910954933,3.7784625280000004,1.8905379511568805,-1.8879245768431199,False,False
b0693,speF,speF,ornithine decarboxylase%2C degradative,Amino acid transport and metabolism,"YeiE,OmpR",P24169,718262,720460,-,False,False,True,True,True,True,False,False,False,,,False,True,1.1829077905,1.178780053,0.3752247046296001,False,1.178780053,0.25308559600000013,0.7070986502,0.936170497,3.311756269,0.0,1.1973387205879749,0.6673710801567339,3.311756269,2.132976216,-1.178780053,True,False
b0694,kdpE,kdpE,DNA-binding transcriptional activator KdpE,Transcription,,P21866,721056,721733,-,False,False,False,False,True,True,False,False,False,,,False,True,4.594535039,4.080128024,0.5941712786561999,True,4.086615991,0.3997304619432285,,,9.246437236,1.357198898,4.067403673320519,0.28649400618244636,7.889238338,5.159821245,-2.7294170930000003,False,True
b0695,kdpD,kdpD,sensory histidine kinase KdpD,Signal transduction mechanisms,,P21865,721730,724414,-,False,False,False,False,True,True,False,False,False,3.0,,True,True,4.547978396,4.366738351,0.7292369392602008,True,4.366738351,0.4918635770000006,3.2460223592,3.8486802060328995,10.8319485,1.992476671,4.315202271256811,0.5954078174215071,8.839471828999999,6.465210148999999,-2.3742616800000005,False,True
b0696,kdpC,kdpC,K(+) transporting P-type ATPase subunit KdpC,Inorganic ion transport and metabolism,"RpoD,ppGpp,KdpE",P03961,724407,724979,-,False,False,True,True,True,True,False,False,False,,,False,True,3.778670652,3.539558321995833,0.778100843110726,True,3.539558321995833,0.5248218286191326,2.4812396266,2.950714353693151,12.1736652,1.455509407,3.51789446019777,2.031312945535423,10.718155793000001,8.634106878004168,-2.084048914995833,False,True
b0697,kdpB,kdpB,K(+) transporting P-type ATPase subunit KdpB,Inorganic ion transport and metabolism,"RpoD,YdcN,ppGpp,KdpE",P03960,724988,727036,-,False,False,True,True,True,True,False,False,False,,,False,True,1.896879929,1.930933792,0.462283253789131,True,1.930933792,0.3118057829415426,1.26060986787162,1.6038176751039792,11.90004095,0.410875478,1.9760741478073227,5.286255347314282,11.489165472,9.969107158,-1.520058314,True,True
b0698,kdpA,kdpA,K(+) transporting P-type ATPase subunit KdpA,Inorganic ion transport and metabolism,"RpoD,KdpE,ArcA",P03959,727059,728732,-,False,False,True,True,True,True,False,False,False,,,False,True,0.7538193854999999,0.933092218,0.468508590459,True,0.933092218,0.31600471500000005,0.3776013509808271,0.6320252545,11.91635119,0.0,1.0756002744208544,6.1268446920869915,11.91635119,10.983258972,-0.933092218,True,True
b0699,ybfA,ybfA,DUF2517 domain-containing protein YbfA,Function unknown,"ppGpp,ArcA",P0AAU2,729134,729340,+,False,False,False,False,False,True,False,True,False,,,False,True,5.8121545645,7.098028066,1.773296230074601,True,7.12813025,1.167869605,,,11.90804368,0.0,7.07495890141597,-0.3082105287065683,11.90804368,4.779913430000001,-7.12813025,False,False
b0700,rhsC,rhsC,rhs element protein RhsC,Cell wall/membrane/envelope biogenesis,,P16918,729583,733776,+,False,False,False,False,False,False,False,True,False,,,False,True,2.4365646715,2.566000877,0.5404724718287999,False,2.581836621,0.3523952560000003,,,6.696611366,1.501450085,2.687759274459725,2.0365781642249416,5.195161281,4.114774745,-1.0803865359999998,False,False
b0702,ybfB,ybfB,uncharacterized protein YbfB,No COG annotation,gcvB,P0AAU5,733776,734102,+,False,False,False,False,False,False,False,True,False,,,False,True,1.177565921,1.57392511,0.895766964204,True,1.6009881869999998,0.5724069599999997,,,6.421690637479572,0.0,1.638340800254788,0.6058671629470679,6.421690637479572,4.820702450479573,-1.6009881869999998,True,False
b0703,ybfO,ybfO,conserved protein%2C rhs-like YbfO,Cell wall/membrane/envelope biogenesis,,,734220,735653,+,False,False,False,False,False,False,True,False,False,,,False,True,1.5489300605,1.64886263,0.5861520594114734,False,1.6645382569999998,0.3857729693761889,,,4.56163412,0.0,1.7007219113409973,0.3936907170008103,4.56163412,2.897095863,-1.6645382569999998,True,False
b0704,ybfC,ybfC,uncharacterized protein YbfC,No COG annotation,Nac,P28915,735650,736219,+,False,False,False,False,False,False,False,True,False,,,False,True,2.578280849,2.665127319,0.7288132492452002,False,2.6925247603256555,0.4758560413256556,,,8.026375727795834,0.0,2.7315078194756803,0.8919728908088662,8.026375727795834,5.333850967470179,-2.6925247603256555,False,False
b0705,ybfL,ybfL,putative transposase YbfL,"Replication, recombination and repair",,,736900,737961,+,False,False,False,False,False,False,True,False,False,,,False,True,0.278410661,0.7453373163985848,0.5287906803618583,False,0.76529603,0.356744897,,,3.547978102110797,0.0,0.8342693706493711,1.1495005138762622,3.547978102110797,2.7826820721107968,-0.76529603,True,False
b0706,ybfD,ybfD,H repeat-associated putative transposase YbfD,"Replication, recombination and repair",,P28916,738092,738853,+,False,False,False,False,False,False,False,True,False,,,False,True,0.9281683335,1.089702063,0.6001497430656,False,1.103081991,0.39707545899999996,,,4.099902089695447,0.0,1.1479262116310183,0.6917746841353368,4.099902089695447,2.996820098695447,-1.103081991,True,False
b0707,ybgA,ybgA,DUF1722 domain-containing protein YbgA,Function unknown,"RpoS,ppGpp,Lrp",P24252,739001,739510,+,False,False,False,False,False,True,False,True,False,0.0,,True,True,6.354818435,4.570800271,2.1241168761330016,True,4.65331196,1.39553218,,,9.299662854,0.620046456,4.678964763566688,0.0603677692506465,8.679616397999999,4.646350893999999,-4.033265504,False,True
b0708,phr,phrB;phr,deoxyribodipyrimidine photolyase (photoreactivation),"Replication, recombination and repair","RpoS,LexA,ppGpp",P00914,739507,740925,+,False,False,False,False,True,True,False,False,False,,,False,True,4.988223466,4.17273502,0.8416429817963996,False,4.17273502,0.5676804139999998,3.2540857597910193,3.689472803,8.504299929,1.713722817544025,4.328925704705092,0.8767410212502393,6.790577111455975,4.331564909,-2.459012202455975,False,True
b0709,dtpD,dtpD;ybgH,dipeptide:H(+) symporter DtpD,"Intracellular trafficking, secretion, and vesicular transport",ppGpp,P75742,741075,742556,-,False,False,True,True,True,True,False,False,False,,,False,True,4.49309819,4.19798169,0.7619167364297404,True,4.19798169,0.5139057982124244,2.851218196698296,3.6402997184999997,7.2949506510000015,0.920499487,4.11237384095249,-0.3916580653097707,6.374451164000002,3.0969689610000017,-3.277482203,False,False
b0710,ybgI,ybgI,radiation resistance protein YbgI,Function unknown,ppGpp,P0AFP6,742827,743570,+,False,False,False,False,True,True,False,False,True,4535.0,1183.0,True,True,7.691397339,7.521347672,0.5488264375844806,False,7.521347672,0.37017836070719046,6.6317029112,7.0848560988660285,8.96066197380894,3.4752746830000003,7.433819437560326,-1.3903856370823136,5.485387290808939,1.4393143018089392,-4.046072989,False,True
b0711,pxpB,pxpB;ybgJ,5-oxoprolinase component B,Amino acid transport and metabolism,ppGpp,P0AAV4,743593,744249,+,False,False,False,False,True,True,False,True,False,124.0,,True,True,7.093462134000001,7.253331191722753,0.5768859851826451,False,7.253331191722753,0.38910426627724615,6.3433953418,6.822993768313081,9.066415362985031,3.162133613,7.163383329017792,-1.3401372544051968,5.9042817499850315,1.813084171262278,-4.0911975787227535,False,True
b0712,pxpC,pxpC;ybgK,5-oxoprolinase component C,Amino acid transport and metabolism,ppGpp,P75745,744243,745175,+,False,False,False,False,True,True,False,True,True,17.0,139.0,True,True,7.194685225000001,6.934284299725407,0.5168782003710242,False,6.934284299725407,0.3486295699251478,5.940498499785394,6.407844107,8.687569754353605,2.8027386360000004,6.791587972994815,-1.2032858299730982,5.884831118353604,1.7532854546281982,-4.131545663725406,False,True
b0713,pxpA,pxpA;ybgL,5-oxoprolinase component A,Function unknown,ppGpp,P75746,745165,745899,+,False,False,False,False,True,True,False,True,False,7.0,,True,True,6.58138023,6.2980743110000015,0.5544519666234494,False,6.2980743110000015,0.37397272806114223,5.4000357304,5.823112988,7.771317242,3.0614914110000004,6.175217107322313,-1.1445112356817229,4.709825831,1.4732429309999988,-3.236582900000001,False,True
b0714,nei,nei,endonuclease VIII,"Replication, recombination and repair",RpoD,P50465,745935,746726,+,False,False,False,False,True,True,False,False,False,0.0,,True,True,5.687422301,5.049896184,0.5812413609702002,False,5.049896184,0.3920419270000002,3.937724480359454,4.531758228999999,6.8446822560000005,2.645953896,4.93128569032802,-0.5641143000388052,4.1987283600000005,1.7947860720000008,-2.4039422879999996,False,True
b0715,abrB,abrB;ybgN,putative regulator,Function unknown,,P75747,746723,747769,-,False,False,False,False,False,True,False,True,False,,,False,True,2.971942379,2.651037447,0.9139503356256004,True,2.663541231,0.6060221331699038,,,6.504238457501321,0.0,2.9506267180160117,0.7971625979279944,6.504238457501321,3.8406972265013213,-2.663541231,False,False
b0716,ybgO,ybgO,putative fimbrial protein YbgO,Cell motility,,P75748,747921,748982,-,False,False,False,False,False,True,False,True,False,,,False,True,1.1712925725,1.4859004969999998,0.5242147353870003,True,1.502146455,0.34394135400000025,,,4.454285084,0.0,1.4966950731686157,0.7855156513204947,4.454285084,2.9521386290000002,-1.502146455,True,True
b0717,ybgP,ybgP,putative fimbrial chaperone YbgP,Cell wall/membrane/envelope biogenesis,,P75749,748979,749707,-,False,False,False,False,False,True,False,True,False,,,False,True,1.4721716185,1.3313111348650808,0.5077349793951688,False,1.3472968369999998,0.33211849428773665,,,3.299989211,0.0,1.368799011094371,0.18392869053611136,3.299989211,1.9526923740000004,-1.3472968369999998,True,True
b0718,ybgQ,ybgQ,putative fimbrial usher protein YbgQ,Cell motility,,P75750,749722,752169,-,False,False,False,False,False,True,False,True,False,,,False,True,0.820957884,0.567487905,0.2680596679194,False,0.5734576570000001,0.1771956540000001,,,3.136018427,0.0,0.6250094950204553,1.7864475710907703,3.136018427,2.56256077,-0.5734576570000001,True,True
b0719,ybgD,ybgD,putative fimbrial protein YbgD,Cell motility,YbdO,P37909,752229,752795,-,False,False,False,False,False,True,False,True,False,,,False,True,1.109715099,1.077983305,0.7042434952979998,False,1.0974938159999998,0.46078736099999984,,,4.550536445,0.0,1.253167938300292,0.8981496741398143,4.550536445,3.4530426289999996,-1.0974938159999998,True,False
b0720,gltA,gltA;gluT;icdB,citrate synthase,Energy production and conversion,"RpoD,YdcI,IHF,Crp,ArcA,ppGpp,Nac,spf",P0ABH7,753185,754468,-,False,False,True,True,True,True,False,False,True,18796.0,7960.0,True,True,11.074862445,10.203169253609367,0.8614260139627511,True,10.203169253609367,0.5810238863906321,8.7143781666,9.4583297725,13.31109482,4.815627596000001,10.043024416602233,-0.9585583140776365,8.495467223999999,3.107925566390632,-5.387541657609367,False,True
b0721,sdhC,sdhC;cybA,succinate:quinone oxidoreductase%2C membrane protein SdhC,Energy production and conversion,"RpoD,YdcI,YdiP,Fur,Fnr,Crp,ArcA,Nac,rybB,ryhB,spf",P69054,755177,755566,+,False,True,True,True,True,True,False,False,False,1732.0,,True,True,10.95222994,9.124261873,1.623724695427799,True,9.136575705143422,1.0891765148565788,,,13.75374646,2.659406071,8.612289492199485,-0.6122903713532134,11.094340389000001,4.617170754856579,-6.477169634143422,False,True
b0722,sdhD,sdhD,succinate:quinone oxidoreductase%2C membrane protein SdhD,Energy production and conversion,"RpoD,ryhB,Fur,Fnr,Crp,ArcA",P0AC44,755560,755907,+,False,True,True,True,True,True,False,False,True,35.0,537.0,True,True,9.642352791,8.447304413,1.713368632205999,True,8.447304413,1.1556513099999997,5.4633967674,6.794035669099125,11.11928289,0.0,7.993704185808214,-0.9913714293884038,11.11928289,2.6719784769999997,-8.447304413,False,True
b0723,sdhA,sdhA,succinate:quinone oxidoreductase%2C FAD binding protein,Energy production and conversion,"RpoD,Fur,Fnr,Crp,ArcA,ryhB",P0AC41,755907,757673,+,False,True,True,True,True,True,False,False,True,4083.5,2923.0,True,True,9.8889320745,8.718672018,1.505427179710496,True,8.718672018,1.0153967217796414,5.95097077,7.476532945500001,11.51016627,0.675146914,8.373146953309751,-1.0727556501798918,10.835019355999998,2.7914942519999997,-8.043525103999999,False,True
b0724,sdhB,sdhB,succinate:quinone oxidoreductase%2C iron-sulfur cluster binding protein,Energy production and conversion,"RpoD,Fur,Fnr,Crp,ArcA,ryhB",P07014,757689,758405,+,False,True,True,True,True,True,False,False,True,3756.0,2336.0,True,True,9.984374347,8.822050171638036,1.4876320002021546,True,8.825105586,1.0018441289999993,,,11.59935948,2.672229623,8.559535543779626,-0.7381136325137334,8.927129857,2.774253894000001,-6.152875963,False,True
b0726,sucA,sucA,subunit of E1(0) component of 2-oxoglutarate dehydrogenase,Nucleotide transport and metabolism,"RpoD,RpoS,Fur,Fnr,IHF,Crp,ArcA,Nac,ryhB",P0AFG3,758706,761507,+,False,False,True,True,True,True,False,False,True,2784.5,2979.0,True,True,9.7554548575,8.73769554,1.1476019013228,False,8.73769554,0.774046878,6.8878409812,7.7694030275,11.39238451,4.538989303999999,8.534663606008882,-0.4904823942762907,6.853395206,2.6546889699999987,-4.198706236000001,False,True
b0727,sucB,sucB,dihydrolipoyltranssuccinylase,Energy production and conversion,"RpoD,RpoS,Fur,Fnr,IHF,Crp,ArcA,ryhB",P0AFG6,761522,762739,+,False,False,True,True,True,True,False,False,True,6105.0,5384.0,True,True,10.201473845,9.369525598,0.9712739308148196,False,9.369525598,0.6551152912551057,7.821766527199999,8.636601386,11.97376426,4.857743437,9.239690185914494,-0.6454945431025955,7.1160208229999995,2.604238662,-4.511782160999999,False,True
b0728,sucC,sucC,succinyl-CoA synthetase subunit beta,Nucleotide transport and metabolism,"RpoD,YfeD,RpoS,Fur,Fnr,IHF,Crp,ArcA,ryhB,spf",P0A836,763014,764180,+,False,False,True,True,True,True,False,False,True,11692.5,6881.0,True,True,10.081117625,9.490212815,1.0381861829261998,False,9.490212815,0.7002469869999999,7.747970428677543,8.641583806355854,12.004419532463894,4.558531661,9.3084759939984,-0.6887497810337442,7.445887871463894,2.5142067174638942,-4.931681154,False,True
b0729,sucD,sucD,succinyl-CoA synthetase subunit alpha,Energy production and conversion,"RpoD,RpoS,Fur,Fnr,IHF,Crp,ArcA,ryhB",P0AGE9,764180,765049,+,False,False,True,True,True,True,False,False,True,12362.5,6452.0,True,True,9.912776405,9.653647182,1.094604066292799,False,9.653647182,0.7383003279999993,7.879349263000001,8.686875223,12.244977177125657,4.713491021,9.42395722304731,-0.6712278671116049,7.5314861561256565,2.5913299951256565,-4.940156161,False,True
b0730,mngR,mngR;farR;g30;ybgB,DNA-binding transcriptional repressor MngR,Transcription,"RpoD,MngR",P13669,765153,765875,-,False,False,False,False,True,False,False,False,False,,,False,True,4.69903884,4.730253854,0.3094604545241999,False,4.730253854,0.208728217,4.3275729336,4.515234437292403,6.678507677000001,2.97098565,4.73861663640156,0.3329962089476456,3.707522027000001,1.9482538230000008,-1.759268204,False,False
b0731,mngA,mngA;hrsA,2-O-alpha-mannosyl-D-glycerate specific PTS enzyme II,Carbohydrate transport and metabolism,"YcjW,RpoH,MngR",P54745,765984,767960,+,False,False,True,True,True,False,False,False,False,,,False,True,0.3951786735,0.675189191,0.336208275375,False,0.675189191,0.22676937500000005,0.2933727916,0.4654577715,3.317699557,0.0,0.7276917210353533,1.3514267737990502,3.317699557,2.642510366,-0.675189191,True,True
b0732,mngB,mngB;ybgG,alpha-mannosidase,Carbohydrate transport and metabolism,"RpoD,YidZ,RpoH,MngR",P54746,767978,770611,+,False,False,True,True,True,False,False,False,False,,,False,True,3.1314989955000003,3.23082689084582,0.4770159926339867,False,3.23082689084582,0.32174287915417965,2.5710846868,2.8780943379861323,4.965970864,1.495947761,3.2057994598970234,0.011854500953815605,3.470023103,1.7351439731541798,-1.7348791298458202,False,True
b0733,cydA,cydA;cyd-1,cytochrome bd-I ubiquinol oxidase subunit I,Energy production and conversion,"RpoD,ryhB,YidZ,ArcA,Cra,H-NS,HypT,Fnr,Nac",P0ABJ9,771458,773026,+,True,False,True,True,True,True,False,False,True,588.5,1556.0,True,True,7.8264888695,8.285216738999999,1.0729097601893984,True,8.285216738999999,0.7236677189999989,7.2334174416,7.7501798415,12.97344618,5.897104033302004,8.56252497324818,0.6389397540725934,7.076342146697995,4.688229441000001,-2.3881127056979947,False,True
b0734,cydB,cydB;cyd-2,cytochrome bd-I ubiquinol oxidase subunit II,Energy production and conversion,"RpoD,ArcA,Cra,H-NS,HypT,Fnr",P0ABK2,773042,774181,+,False,False,True,True,True,True,False,False,True,66.0,1058.0,True,True,7.7365887115,8.19282419490642,0.9594725721796584,True,8.199470359,0.6506374769999992,,,12.61091064,0.0,8.312585334483382,-1.7919363608428103,12.61091064,4.411440281000001,-8.199470359,False,True
b0735,ybgE,ybgE,cyd operon protein YbgE,Function unknown,Nac,P0AAV0,774309,774602,+,False,False,False,False,True,True,False,True,False,,,False,True,6.140344326999999,7.543778436,0.9405435212963992,True,7.543778436,0.6343879139999995,6.2333181912,6.846728141867864,11.358365419045546,4.622260332,7.531101613481658,0.24440350242944706,6.736105087045546,3.8145869830455457,-2.9215181040000004,False,False
b0736,ybgC,ybgC,esterase/thioesterase,Function unknown,Nac,P0A8Z3,774752,775156,+,False,False,False,True,True,True,False,False,False,,,False,True,7.4382624085,7.5153948910000015,0.5426742870192024,False,7.5153948910000015,0.3660287920000016,6.4402577736,7.039784021938463,9.389833516,4.3969793410000015,7.3862324674112925,-0.9671550172668794,4.992854174999998,1.874438624999998,-3.11841555,False,False
b0737,tolQ,tolQ;fii,Tol-Pal system protein TolQ,"Intracellular trafficking, secretion, and vesicular transport",ppGpp,P0ABU9,775153,775845,+,False,False,False,False,True,True,False,False,True,208.5,410.0,True,True,7.620336505,7.191170983999998,0.6441040487153974,False,7.191170983999998,0.4344422289999983,6.172385689469167,6.544408658971095,8.534452986,3.649390095,7.026818752253978,-1.0041937381684378,4.8850628910000005,1.3432820020000014,-3.5417808889999987,False,True
b0738,tolR,tolR,Tol-Pal system protein TolR,"Intracellular trafficking, secretion, and vesicular transport",,P0ABV6,775849,776277,+,False,False,False,False,True,True,False,False,True,108.5,227.0,True,True,6.4668596875,6.806856022000001,0.5442080667105638,False,6.806856022000001,0.36706331222889776,5.8392674646,6.31937952397748,8.147239271,2.547565412,6.676422230668918,-1.0686964035793594,5.599673859,1.3403832489999994,-4.259290610000001,False,True
b0739,tolA,tolA;cim;excC;lky,Tol-Pal system protein TolA,"Intracellular trafficking, secretion, and vesicular transport",,P19934,776342,777607,+,False,False,False,False,True,True,False,False,True,28.0,1434.0,True,True,6.7906715675,6.546640013836341,0.5237424919472404,False,6.546640013836341,0.35325947116365874,5.611738364382637,6.08044724395808,7.948580092,3.707963711,6.447111773805206,-0.7544841077089858,4.240616381000001,1.4019400781636593,-2.838676302836341,False,True
b0740,tolB,tolB,Tol-Pal system periplasmic protein TolB,"Intracellular trafficking, secretion, and vesicular transport",Nac,P0A855,777740,779032,+,False,False,False,False,True,True,False,False,True,1299.5,1929.0,True,True,9.466611987,9.317355181309273,0.4923157771425526,False,9.317355181309273,0.3320624424271905,8.48225321012046,8.820475311000001,10.33469281,5.981271317999999,9.171478180552157,-1.3180305500774894,4.353421492000001,1.0173376286907274,-3.3360838633092733,False,False
b0741,pal,pal;excC,peptidoglycan-associated outer membrane lipoprotein Pal,Cell wall/membrane/envelope biogenesis,"Lrp,micA",P0A912,779067,779588,+,False,False,False,False,True,True,False,False,True,16466.5,6864.0,True,True,11.59294147,11.06272368,0.546444165204002,False,11.06272368,0.36857154000000136,10.039642734019926,10.577779719017062,13.11391659,7.931953055,10.936016324165319,-0.9187314693794286,5.181963535,2.051192910000001,-3.1307706249999994,False,False
b0742,cpoB,cpoB;ybgF,cell division coordinator CpoB,"Cell cycle control, cell division, chromosome partitioning","Lrp,micA",P45955,779598,780389,+,False,False,False,False,True,True,False,False,False,641.5,,True,True,9.2589793315,8.853202655,0.4369129048241992,False,8.853202655,0.29469371699999947,8.082689950606486,8.514387494813322,10.08046587,5.982645646,8.759413544337173,-1.3437380666687069,4.0978202239999995,1.227263214999999,-2.8705570090000005,False,False
