BNUM,GENE_NAME
b1719,EG11001
b2827,thyA
b2827,EG11002
b2827,ECK2823
b0436,tig
b0436,EG11003
b0436,ECK0430
b1845,ptrB
b1845,tlp
b1845,EG11004
b1845,ECK1846
b3708,tnaA
b3708,tnaR
b3708,ECK3701
b3708,EG11005
b3708,ind
b3709,tnaB
b3709,ECK3702
b3709,EG11006
b3709,tnaP
b3709,trpP
b0739,tolA
b0739,cim
b0739,excC
b0739,tol-2
b0739,lky
b0739,ECK0728
b0739,EG11007
b0740,tolB
b0740,ECK0729
b0740,EG11008
b0740,lky
b0740,tol-3
b0740,lkyA
b3035,tolC
b3035,EG11009
b3035,ECK3026
b3035,toc
b3035,refI
b3035,mukA
b3035,weeA
b3035,colE1-i
b3035,mtcB
b0737,tolQ
b0737,ECK0726
b0737,EG11010
b0737,tolP
b0737,fii
b0738,tolR
b0738,EG11011
b0738,ECK0727
b1252,tonB
b1252,exbA
b1252,T1rec
b1252,ECK1246
b1252,EG11012
b1274,topA
b1274,EG11013
b1274,ECK1268
b1274,supX
b1763,topB
b1763,mutR
b1763,ECK1761
b1763,EG11014
b3919,tpiA
b3919,ECK3911
b3919,tpi
b3919,EG11015
b1229,tpr
b1229,EG11016
b1229,ECK1224
b1197,treA
b1197,EG11017
b1197,ECK1185
b1197,osmA
b1197,tre
b1421,trg
b1421,EG11018
b1421,ECK1415
b3290,trkA
b3290,ECK3276
b3290,EG11019
b1363,trkG
b1363,EG11020
b1363,ECK1362
b3849,trkH
b3849,ECK3841
b3849,EG11021
b3965,trmA
b3965,ECK3957
b3965,rT
b3965,rumT
b3965,EG11022
b2607,trmD
b2607,ECK2604
b2607,EG11023
b1260,trpA
b1260,EG11024
b1260,ECK1254
b1260,tryp
b1260,try
b1261,trpB
b1261,EG11025
b1261,ECK1255
b1262,trpC
b1262,trpCF
b1262,trpF
b1262,EG11026
b1262,ECK1256
b1263,trpD
b1263,ECK1257
b1263,trpGD
b1263,EG11027
b1264,trpE
b1264,ECK1258
b1264,tryp-4
b1264,EG11028
b1264,tryD
b1264,anth
b4393,trpR
b4393,EG11029
b4393,ECK4385
b4393,rtrY
b3384,trpS
b3384,ECK3371
b3384,EG11030
b3781,trxA
b3781,ECK3773
b3781,EG11031
b3781,dasC
b3781,tsnC
b3781,fipA
b0888,trxB
b0888,EG11032
b0888,trxR
b0888,ECK0879
b0170,tsf
b0170,EG11033
b0170,ECK0169
b4355,tsr
b4355,cheD
b4355,ECK4345
b4355,EG11034
b0411,tsx
b0411,EG11035
b0411,T6rec
b0411,ECK0405
b0411,nupA
b3339,tufA
b3339,ECK3326
b3339,kirT
b3339,EG11036
b3339,pulT
b3980,tufB
b3980,kirT
b3980,pulT
b3980,EG11037
b3980,ECK3971
b1610,tus
b1610,tau
b1610,EG11038
b1610,ECK1605
b2600,tyrA
b2600,EG11039
b2600,ECK2597
b4054,tyrB
b4054,EG11040
b4054,ECK4046
b1907,tyrP
b1907,EG11041
b1907,ECK1906
b1323,tyrR
b1323,EG11042
b1323,ECK1319
b1637,tyrS
b1637,EG11043
b1637,ECK1633
b2311,ubiX
b2311,EG11044
b2311,ECK2305
b2311,dedF
b3831,udp
b3831,ECK3825
b3831,EG11045
b3452,ugpA
b3452,ECK3436
b3452,psiB
b3452,psiC
b3452,ugp
b3452,EG11046
b3453,ugpB
b3453,psiB
b3453,psiC
b3453,EG11047
b3453,ECK3437
b3450,ugpC
b3450,ECK3434
b3450,EG11048
b3451,ugpE
b3451,ECK3435
b3451,EG11049
b3449,ugpQ
b3449,ECK3433
b3449,EG11050
b3669,uhpA
b3669,EG11051
b3669,ECK3660
b3668,uhpB
b3668,EG11052
b3668,ECK3659
b3667,uhpC
b3667,EG11053
b3667,ECK3658
b3666,uhpT
b3666,EG11054
b3666,ECK3657
b1617,uidA
b1617,EG11055
b1617,ECK1612
b1617,gusA
b1617,gurA
b1184,umuC
b1184,ECK1172
b1184,EG11056
b1184,uvm
b1183,umuD
b1183,ECK1171
b1183,EG11057
b2580,ung
b2580,EG11058
b2580,ECK2578
b2319,usg
b2319,EG11059
b2319,ECK2313
b2319,usg-1
b0480,ushA
b0480,ECK0474
b0480,EG11060
b4058,uvrA
b4058,dinE
b4058,ECK4050
b4058,dar
b4058,EG11061
b0779,uvrB
b0779,dar-6
b0779,dar-1
b0779,ECK0768
b0779,EG11062
b1913,uvrC
b1913,ECK1912
b1913,EG11063
b3813,uvrD
b3813,ECK3808
b3813,EG11064
b3813,dar-2
b3813,uvrE
b3813,mutU
b3813,dda
b3813,srjC
b3813,uvr502
b3813,pdeB
b3813,rad
b3813,recL
b1521,uxaB
b1521,EG11065
b1521,ECK1514
b4322,uxuA
b4322,EG11066
b4322,ECK4313
b4258,valS
b4258,EG11067
b4258,ECK4251
b4258,val-act
b1960,vsr
b1960,ECK1958
b1960,EG11068
b3811,xerC
b3811,EG11069
b3811,ECK3806
b2893,dsbC
b2893,xprA
b2893,EG11070
b2893,ECK2888
b2894,xerD
b2894,xprB
b2894,ECK2889
b2894,EG11071
b2509,xseA
b2509,EG11072
b2509,ECK2505
b2509,xse
b1749,xthA
b1749,EG11073
b1749,ECK1747
b1749,xth
b3565,xylA
b3565,EG11074
b3565,ECK3554
b3564,xylB
b3564,EG11075
b3564,ECK3553
b4031,xylE
b4031,ECK4023
b4031,EG11076
b0020,nhaR
b0020,yaaB
b0020,antO
b0020,ECK0021
b0020,EG11078
b0025,ribF
b0025,EG11079
b0025,ECK0026
b0025,yaaC
b0028,fkpB
b0028,EG11080
b0028,yaaD
b0028,slpA
b0028,ECK0029
b0029,ispH
b0029,yaaE
b0029,lytB
b0029,EG11081
b0029,ECK0030
b0030,rihC
b0030,yaaF
b0030,ECK0031
b0030,EG11082
b0059,rapA
b0059,hepA
b0059,EG11083
b0059,yabA
b0059,ECK0060
b0081,mraZ
b0081,ECK0082
b0081,EG11084
b0081,yabB
b0082,rsmH
b0082,EG11085
b0082,ECK0083
b0082,mraW
b0082,yabC
b0083,ftsL
b0083,EG11086
b0083,ECK0084
b0083,yabD
b0083,mraR
b0097,secM
b0097,EG11087
b0097,ECK0098
b0097,yacA
b0097,srrA
b0113,pdhR
b0113,ECK0112
b0113,EG11088
b0113,yacB
b0113,genA
b0113,aceC
b0122,yacC
b0122,ECK0121
b0122,EG11089
b0159,mtn
b0159,mtnN
b0159,ECK0158
b0159,yadA
b0159,EG11090
b0159,pfs
b0239,frsA
b0239,yafA
b0239,ECK0240
b0239,EG11091
b0240,crl
b0240,EG11092
b0240,ECK0241
b0389,yaiA
b0389,ECK0384
b0389,EG11093
b0398,sbcD
b0398,yajA
b0398,ECK0392
b0398,EG11094
b0404,acpH
b0404,ECK0398
b0404,EG11095
b0404,yajB
b0407,yajC
b0407,EG11096
b0407,ECK0401
b0410,yajD
b0410,EG11097
b0410,ECK0404
b0422,xseB
b0422,yajE
b0422,ECK0416
b0422,EG11098
b0456,ybaA
b0456,ECK0450
b0456,EG11099
b0471,ybaB
b0471,ECK0465
b0471,EG11100
b0476,aes
b0476,ybaC
b0476,ECK0470
b0476,EG11101
b0477,gsk
b0477,EG11102
b0477,ECK0471
b0535,fimZ
b0535,ybcA
b0535,EG11103
b0535,ECK0528
b0591,entS
b0591,EG11104
b0591,ECK0584
b0591,ybdA
b0597,entH
b0597,ybdB
b0597,EG11105
b0597,ECK0590
b0707,ybgA
b0707,ECK0696
b0707,EG11108
b0707,tkp
b0730,mngR
b0730,farR
b0730,ybgB
b0730,ECK0718
b0730,EG11109
b0736,ybgC
b0736,ECK0725
b0736,EG11110
b0880,cspD
b0880,EG11111
b0880,cspH
b0880,ybjA
b0880,ECK0871
b0885,aat
b0885,EG11112
b0885,ECK0876
b0885,ycaA
b0970,yccA
b0970,ECK0961
b0970,EG11113
b1055,trhO
b1055,yceA
b1055,ECK1040
b1055,EG11116
b1063,yceB
b1063,ECK1048
b1063,EG11117
b1086,rluC
b1086,EG11118
b1086,ECK1071
b1086,yceC
b1088,yceD
b1088,ECK1074
b1088,EG11119
b1156,tfaE
b1156,ECK1142
b1156,EG11120
b1156,ycfA
b1253,yciA
b1253,ECK1247
b1253,EG11121
b1254,yciB
b1254,EG11122
b1254,ECK1248
b1255,yciC
b1255,ECK1249
b1255,EG11123
b1256,ompW
b1256,yciD
b1256,ECK1250
b1256,EG11124
b1257,yciE
b1257,EG11125
b1257,ECK1251
b1258,yciF
b1258,ECK1252
b1258,EG11126
b1259,yciG
b1259,EG11127
b1259,ECK1253
b1282,yciH
b1282,ECK1277
b1282,EG11128
b1561,rem
b1561,EG11129
b1561,ECK1555
b1562,hokD
b1562,EG11130
b1562,ECK1556
b1562,relF
b1563,relE
b1563,EG11131
b1563,ECK1557
b1703,ppsR
b1703,EG11132
b1703,ECK1701
b1703,ydiA
b1708,nlpC
b1708,ECK1706
b1708,EG11133
b1765,ydjA
b1765,ECK1763
b1765,EG11134
b1768,pncA
b1768,ydjB
b1768,nam
b1768,ECK1766
b1768,EG11135
b1862,yebB
b1862,ECK1863
b1862,EG11136
b1864,yebC
b1864,ECK1865
b1864,EG11137
b1865,nudB
b1865,EG11138
b1865,ECK1866
b1865,ntpA
b1865,yebD
b1908,yecA
b1908,ECK1907
b1908,EG11139
b1914,uvrY
b1914,yecB
b1914,ECK1913
b1914,EG11140
b1959,yedA
b1959,ECK1957
b1959,EG11141
b2230,yfaA
b2230,EG11142
b2230,ECK2222
b2230,pufY
b2232,ubiG
b2232,pufX
b2232,ECK2224
b2232,EG11143
b2232,yfaB
b2327,yfcA
b2327,ECK2321
b2327,EG11144
b2395,pdeA
b2395,EG11145
b2395,ECK2389
b2395,yfeA
b2405,xapR
b2405,yfeB
b2405,ECK2399
b2405,pndR
b2405,pRndR
b2405,EG11146
b2471,yffB
b2471,ECK2466
b2471,EG11147
b2479,gcvR
b2479,EG11149
b2479,yffD
b2479,ECK2475
b2481,hyfA
b2481,ECK2477
b2481,yffE
b2481,EG11150
b2597,raiA
b2597,EG11151
b2597,ECK2594
b2597,pY
b2597,yfiA
b2597,urf1
b2605,yfiB
b2605,EG11152
b2605,ECK2602
b2608,rimM
b2608,EG11153
b2608,ECK2605
b2608,yfjA
b2823,ppdC
b2823,ECK2819
b2823,EG11154
b2823,ygdA
b2824,ygdB
b2824,EG11155
b2824,ECK2820
b2825,ppdB
b2825,ECK2821
b2825,ygdC
b2825,EG11156
b2840,ygeA
b2840,ECK2838
b2840,EG11157
b2912,fau
b2912,ygfA
b2912,ECK2907
b2912,EG11158
b2923,argO
b2923,yggA
b2923,ECK2919
b2923,EG11159
b2924,mscS
b2924,ECK2920
b2924,EG11160
b2924,yggB
b2928,yggC
b2928,ECK2924
b2928,EG11161
b2929,fumE
b2929,EG11162
b2929,ECK2925
b2929,yggD
b3036,ygiA
b3036,ECK3027
b3036,EG11163
b3037,ygiB
b3037,ECK3028
b3037,EG11164
b3038,ygiC
b3038,ECK3029
b3038,EG11165
b3039,ygiD
b3039,ECK3030
b3039,EG11166
b3040,zupT
b3040,EG11167
b3040,ECK3031
b3040,ygiE
b3061,ttdA
b3061,ECK3051
b3061,ygjA
b3061,EG11168
b3062,ttdB
b3062,ECK3052
b3062,ygjB
b3062,EG11169
b3064,tsaD
b3064,EG11171
b3064,ygjD
b3064,gcp
b3064,ECK3054
b3115,tdcD
b3115,EG11172
b3115,yhaA
b3115,ECK3104
b3120,yhaB
b3120,ECK3109
b3120,EG11173
b3121,yhaC
b3121,ECK3110
b3121,EG11174
b3124,garK
b3124,ECK3112
b3124,EG11175
b3124,yhaD
b3125,garR
b3125,yhaE
b3125,ECK3113
b3125,EG11176
b3166,truB
b3166,yhbA
b3166,EG11177
b3166,ECK3155
b3167,rbfA
b3167,EG11178
b3167,ECK3156
b3167,sdr-43
b3167,yhbB
b3170,rimP
b3170,yhbC
b3170,EG11179
b3170,ECK3159
b3291,mscL
b3291,EG11180
b3291,yhdC
b3291,ECK3277
b3337,bfd
b3337,ECK3324
b3337,EG11181
b3337,yheA
b3356,yhfA
b3356,ECK3344
b3356,EG11182
b3388,damX
b3388,yhfB
b3388,EG11183
b3388,ECK3375
b3448,yhhA
b3448,EG11184
b3448,ECK3432
b3562,yiaA
b3562,EG11186
b3562,ECK3551
b3594,yibA
b3594,EG11187
b3594,ECK3583
b3618,htrL
b3618,ECK3608
b3618,yibB
b3618,EG11188
b3621,waaC
b3621,rfaC
b3621,ECK3611
b3621,rfa-2
b3621,yibC
b3621,EG11189
b3634,coaD
b3634,yicA
b3634,EG11190
b3634,ECK3624
b3634,kdtB
b3641,slmA
b3641,EG11191
b3641,yicB
b3641,ttk
b3641,ECK3631
b3644,yicC
b3644,ECK3634
b3644,EG11192
b3645,dinD
b3645,EG11193
b3645,yicD
b3645,pcsA
b3645,ECK3635
b3654,xanP
b3654,yicE
b3654,EG11194
b3654,ECK3644
b3697,yidA
b3697,ECK3689
b3697,EG11195
b3698,yidB
b3698,ECK3690
b3698,EG11196
b3705,yidC
b3705,ECK3698
b3705,EG11197
b3730,glmU
b3730,EG11198
b3730,ECK3723
b3730,yieA
b3742,mioC
b3742,yieB
b3742,ECK3736
b3742,EG11199
b3810,yigA
b3810,ECK3805
b3810,EG11201
b3812,yigB
b3812,EG11202
b3812,ECK3807
b3865,yihA
b3865,ECK3857
b3865,EG11203
b3865,engB
b3967,murI
b3967,yijA
b3967,dga
b3967,glr
b3967,ECK3959
b3967,EG11204
b3972,murB
b3972,yijB
b3972,EG11205
b3972,ECK3964
b4011,yjaA
b4011,ECK4003
b4011,EG11206
b4012,yjaB
b4012,EG11207
b4012,ECK4004
b4017,arpA
b4017,ECK4009
b4017,EG11208
b4017,yjaC
b4017,arp
b4030,psiE
b4030,yjbA
b4030,ECK4022
b4030,EG11209
b4109,rdcA
b4109,ECK4102
b4109,crfC
b4109,yjdA
b4109,EG11210
b4155,epmA
b4155,ECK4151
b4155,yjeA
b4155,genX
b4155,EG11211
b4155,poxA
b4178,nsrR
b4178,yjeB
b4178,EG11212
b4178,ECK4174
b4223,yzfA
b4223,ECK4219
b4223,EG11213
b4223,ileR
b4223,yjfA
b4360,yjjA
b4360,ECK4350
b4360,EG11214
b4363,yjjB
b4363,ECK4353
b4363,EG11215
b4397,creA
b4397,EG11217
b4397,ECK4389
b4397,yjjD
b4398,creB
b4398,yjjE
b4398,EG11218
b4398,ORF2
b4398,ECK4390
b1419,ydcA
b1419,ECK1411
b1419,EG11219
b1852,zwf
b1852,ECK1853
b1852,EG11221
b2068,alkA
b2068,EG11222
b2068,ECK2062
b2068,aidA
b3960,argH
b3960,ECK3951
b3960,EG11223
b1947,fliO
b1947,flbD
b1947,ECK1945
b1947,EG11224
b4138,dcuA
b4138,genA
b4138,EG11225
b4138,ECK4132
b0074,leuA
b0074,ECK0076
b0074,EG11226
b1474,fdnG
b1474,ECK1468
b1474,EG11227
b1475,fdnH
b1475,EG11228
b1475,ECK1469
b1476,fdnI
b1476,ECK1470
b1476,EG11229
b4118,melR
b4118,EG11230
b4118,ECK4111
b1717,rpmI
b1717,EG11231
b1717,ECK1715
b3299,rpmJ
b3299,secX
b3299,EG11232
b3299,ECK3286
b1609,rstB
b1609,ECK1604
b1609,EG11233
b1609,uspT
b1692,ydiB
b1692,ECK1690
b1692,EG11234
b0797,rhlE
b0797,ECK0786
b0797,EG11235
b0315,pdeL
b0315,yahA
b0315,ECK0313
b0315,EG11236
b3338,chiA
b3338,yheB
b3338,ECK3325
b3338,EG11237
b0773,ybhB
b0773,ECK0762
b0773,EG11238
b0766,ybhA
b0766,EG11239
b0766,ECK0755
b0897,ycaC
b0897,ECK0888
b0897,EG11241
b0898,ycaD
b0898,ECK0889
b0898,EG11242
b2922,yggE
b2922,ECK2918
b2922,EG11244
b2930,yggF
b2930,EG11245
b2930,ECK2926
b2930,yggK
b1333,uspE
b1333,ydaA
b1333,ECK1329
b1333,EG11246
b2785,rlmD
b2785,rumA
b2785,EG11247
b2785,ECK2779
b2785,ygcA
b2782,mazF
b2782,chpA
b2782,ECK2776
b2782,EG11249
b2782,chpAK
b4224,chpS
b4224,yjfB
b4224,ECK4220
b4224,EG11250
b4224,chpBI
b1214,ychA
b1214,ECK1202
b1214,EG11251
b1214,sirB1
b0923,mukE
b0923,EG11252
b0923,ECK0914
b0923,ycbA
b0923,kicA
b0925,ldtD
b0925,ECK0916
b0925,ycbB
b0925,EG11253
b0636,rlmH
b0636,EG11254
b0636,ybeA
b0636,ECK0629
b0637,rsfS
b0637,ECK0630
b0637,rsfA
b0637,ybeB
b0637,EG11255
b0382,iraP
b0382,ECK0377
b0382,yaiB
b0382,EG11256
b0385,dgcC
b0385,yaiC
b0385,ECK0380
b0385,EG11257
b0385,adrA
b0904,focA
b0904,EG11258
b0904,ECK0895
b0904,ycaE
b4179,rnr
b4179,yjeC
b4179,vacB
b4179,EG11259
b4179,ECK4175
b3765,yifB
b3765,EG11260
b3765,ECK3758
b0851,nfsA
b0851,EG11261
b0851,ybjB
b0851,mdaA
b0851,mda18
b0851,ECK0842
b3364,tsgA
b3364,gutS
b3364,EG11262
b3364,ECK3352
b3364,yhfC
b3364,yhfH
b3322,gspB
b3322,EG11263
b3322,ECK3309
b3322,pioO
b3322,pinO
b0910,cmk
b0910,ECK0901
b0910,ycaG
b0910,mssA
b0910,ycaF
b0910,EG11265
b3615,waaH
b3615,EG11266
b3615,ECK3605
b3615,yibD
b3563,yiaB
b3563,ECK3552
b3563,EG11267
b3288,fmt
b3288,ECK3274
b3288,yhdD
b3288,EG11268
b3288,ftm
b2018,hisL
b2018,EG11269
b2018,ECK2013
b3766,ilvL
b3766,ECK3759
b3766,EG11270
b2598,pheL
b2598,EG11271
b2598,ECK2595
b2598,pheAE
b1715,pheM
b1715,phtL
b1715,ECK1713
b1715,EG11272
b0079,fruL
b0079,EG11273
b1265,trpL
b1265,EG11274
b1265,trpEE
b1265,ECK1259
b3672,ivbL
b3672,ECK3663
b3672,EG11275
b3707,tnaC
b3707,EG11276
b3707,tnaL
b3707,ECK3700
b0001,thrL
b0001,ECK0001
b0001,EG11277
b4246,pyrL
b4246,pyrE-
b4246,pyrE-LP
b4246,ECK4241
b4246,EG11279
b0075,leuL
b0075,ECK0077
b0075,EG11280
b0075,leuIP
b0075,leulLP
b0075,leulL
b0075,leuLP
b4170,mutL
b4170,EG11281
b4170,ECK4166
b2482,hyfB
b2482,yffF
b2482,ECK2478
b2482,EG11282
b4583,phnE
b4583,b4104
b4583,b4103
b4583,ECK4097
b4583,ECK4096
b4583,EG11283
b0180,fabZ
b0180,EG11284
b0180,ECK0179
b0180,yaeA
b0180,sefA
b0180,sabA1
b0180,sfhC21
b2554,glrR
b2554,ECK2551
b2554,EG11285
b2554,qseF
b2554,yfhA
b3957,argE
b3957,ECK3948
b3957,EG11286
b2732,ygbA
b2732,EG11287
b2732,ECK2727
b0394,mak
b0394,yajF
b0394,EG11288
b0394,ECK0389
b2147,preA
b2147,EG11289
b2147,ECK2140
b2147,yeiA
b2152,yeiB
b2152,ECK2145
b2152,EG11290
b2936,loiP
b2936,yggG
b2936,EG11291
b2936,ECK2931
b3003,yghA
b3003,ECK2997
b3003,EG11292
b1209,lolB
b1209,ECK1197
b1209,ychC
b1209,hemM
b1209,EG11293
b1208,ispE
b1208,EG11294
b1208,ychB
b1208,ECK1196
b1208,ipk
b3785,wzzE
b3785,wzz
b3785,yifC
b3785,EG11295
b3785,ECK3777
b4389,radA
b4389,sms
b4389,ECK4381
b4389,EG11296
b3860,dsbA
b3860,dsf
b3860,iarA
b3860,ppfA
b3860,ECK3852
b3860,EG11297
b3248,yhdE
b3248,EG11298
b3248,ECK3236
b3247,rng
b3247,adhR
b3247,cafA
b3247,yhdF
b3247,EG11299
b3247,ECK3235
b1571,ydfA
b1571,ECK1565
b1571,EG11300
b1572,ydfB
b1572,ECK1566
b1572,EG11301
b1573,ydfC
b1573,ECK1567
b1573,EG11302
b1576,ydfD
b1576,EG11303
b1576,ECK1570
b1577,ydfE
b1577,EG11304
b1577,ECK1571
b0627,tatE
b0627,EG11305
b0627,ybeC
b0627,ECK0620
b0628,lipA
b0628,EG11306
b0628,lip
b0628,ECK0621
b1406,pdxI
b1406,ECK1399
b1406,ydbC
b1406,EG11309
b1407,ydbD
b1407,ECK1400
b1407,EG11310
b3260,dusB
b3260,EG11311
b3260,ECK3247
b3260,yhdG
b3638,yicR
b3638,ECK3628
b3638,EG11312
b3638,radC
b3907,rhaT
b3907,ECK3900
b3907,EG11313
b1131,purB
b1131,EG11314
b1131,ade
b1131,ECK1117
b1131,ade(h)
b3253,yhdH
b3253,ECK3241
b3253,EG11315
b3253,acuI
b3571,malS
b3571,EG11316
b3571,ECK3560
b1092,fabD
b1092,EG11317
b1092,ECK1078
b1092,tfpA
b1093,fabG
b1093,ECK1079
b1093,EG11318
b1236,galU
b1236,EG11319
b1236,ECK1231
b1236,ychD
b0413,nrdR
b0413,ECK0407
b0413,EG11320
b0413,ybaD
b0414,ribD
b0414,ribG
b0414,ybaE
b0414,nusII
b0414,EG11321
b0414,ECK0408
b0415,ribE
b0415,ybaF
b0415,ECK0409
b0415,EG11322
b0415,nusIII
b0415,ribH
b2909,ygfB
b2909,ECK2904
b2909,EG11323
b2907,ubiH
b2907,EG11324
b2907,ECK2902
b2907,visB
b2907,acd
b1276,acnA
b1276,EG11325
b1276,acn
b1276,ECK1271
b0337,codA
b0337,ECK0334
b0337,EG11326
b0336,codB
b0336,ECK0333
b0336,EG11327
b2525,fdx
b2525,EG11328
b2525,ECK2522
b2661,gabD
b2661,EG11329
b2661,ECK2655
b2663,gabP
b2663,ECK2657
b2663,EG11330
b1277,ribA
b1277,EG11331
b1277,ECK1272
b2498,upp
b2498,EG11332
b2498,ECK2494
b2498,uraP
b2906,ubiI
b2906,ECK2901
b2906,EG11333
b2906,visC
b3647,ligB
b3647,ECK3637
b3647,yicF
b3647,EG11334
b4390,nadR
b4390,nadI
b4390,EG11335
b4390,ECK4382
b2945,endA
b2945,EG11336
b2945,ECK2940
b2156,lysP
b2156,EG11337
b2156,ECK2149
b2156,cadR
b1051,msyB
b1051,EG11338
b1051,ECK1037
b3631,waaG
b3631,rfaG
b3631,EG11339
b3631,ECK3621
b3630,waaP
b3630,ECK3620
b3630,EG11340
b3630,rfaP
b3632,waaQ
b3632,ECK3622
b3632,EG11341
b3632,rfaQ
b1242,ychE
b1242,EG11342
b1242,ECK1236
b1053,mdtG
b1053,ECK1038
b1053,EG11343
b1053,yceE
b1133,mnmA
b1133,EG11344
b1133,ECK1119
b1133,trmU
b1133,asuE
b1133,ycfB
b1132,hflD
b1132,ECK1118
b1132,ycfC
b1132,hslZ
b1132,EG11345
b1937,fliE
b1937,EG11346
b1937,ECK1935
b1937,flaN
b1937,flaAI
b1937,fla
b1938,fliF
b1938,EG11347
b1938,flaAII.1
b1938,ECK1936
b1938,flaBI
b3629,waaS
b3629,rfaS
b3629,EG11350
b3629,ECK3619
b3628,waaB
b3628,syn
b3628,lps
b3628,ECK3618
b3628,EG11351
b3628,rfaB
b3627,waaO
b3627,EG11352
b3627,ECK3617
b3627,rfaI
b3627,waaI
b3626,waaJ
b3626,EG11353
b3626,ECK3616
b3626,rfaJ
b3626,waaR
b2685,emrA
b2685,ECK2679
b2685,EG11354
b1922,fliA
b1922,ECK1921
b1922,EG11355
b1922,rpoF
b1922,flaD
b1921,fliZ
b1921,ECK1920
b1921,EG11356
b1921,yedH
b0799,dinG
b0799,ECK0788
b0799,EG11357
b0799,rarB
b3189,murA
b3189,EG11358
b3189,murZ
b3189,ECK3178
b3189,mrbA
b3335,gspO
b3335,hofD
b3335,hopD
b3335,hopO
b3335,yheC
b3335,EG11359
b3335,ECK3322
b3570,bax
b3570,ECK3559
b3570,EG11360
b2064,asmA
b2064,yegA
b2064,ECK2058
b2064,EG11361
b0144,gluQ
b0144,ECK0143
b0144,EG11362
b0144,yadB
b4169,amiB
b4169,EG11363
b4169,ECK4165
b4169,yjeD
b3720,bglH
b3720,ECK3713
b3720,EG11364
b3720,yieC
b4396,rob
b4396,cbpB
b4396,EG11366
b4396,ECK4388
b4396,robA
b2786,barA
b2786,EG11367
b2786,ECK2780
b2786,airS
b2262,menB
b2262,ECK2256
b2262,EG11368
b4039,ubiC
b4039,EG11369
b4039,ECK4031
b4040,ubiA
b4040,ECK4032
b4040,EG11370
b4040,cyr
b2560,pgpC
b2560,ECK2558
b2560,EG11371
b2560,yfhB
b2559,tadA
b2559,yfhC
b2559,ECK2557
b2559,EG11372
b2558,mltF
b2558,yfhD
b2558,EG11373
b2558,ECK2556
b0142,folK
b0142,ECK0141
b0142,EG11374
b2153,folE
b2153,ECK2146
b2153,EG11375
b3017,ftsP
b3017,EG11376
b3017,sui
b3017,sufI
b3017,ECK3008
b3018,plsC
b3018,parF
b3018,EG11377
b3018,ECK3009
b1684,sufA
b1684,ECK1680
b1684,ydiC
b1684,EG11378
b0979,appB
b0979,cbdB
b0979,cyxB
b0979,ECK0970
b0979,EG11379
b0978,appC
b0978,cbdA
b0978,cyxA
b0978,ECK0969
b0978,EG11380
b3049,glgS
b3049,scoR
b3049,ECK3038
b3049,EG11381
b3209,elbB
b3209,s27a
b3209,yzzB
b3209,elb2
b3209,yhbL
b3209,ECK3198
b3209,EG11383
b0605,ahpC
b0605,EG11384
b0605,ssi8
b0605,tpx
b0605,ECK0599
b0606,ahpF
b0606,ECK0600
b0606,EG11385
b4486,yjiV
b4486,ECK4334
b4486,EG11386
b4486,b4344
b4486,b4343
b4486,yjiU
b4486,mcrD
b1927,amyA
b1927,EG11387
b1927,ECK1926
b1927,yedC
b1925,fliS
b1925,ECK1924
b1925,EG11388
b1926,fliT
b1926,ECK1925
b1926,EG11389
b3495,uspA
b3495,EG11390
b3495,ECK3480
b4376,osmY
b4376,csi-5
b4376,EG11391
b4376,ECK4367
b1186,nhaB
b1186,EG11392
b1186,ECK1174
b1185,dsbB
b1185,ycgA
b1185,roxB
b1185,dsbX
b1185,iarB
b1185,rosB
b1185,ECK1173
b1185,EG11393
b3963,fabR
b3963,yijC
b3963,EG11394
b3963,ECK3955
b3964,yijD
b3964,EG11395
b3964,ECK3956
b3843,ubiD
b3843,EG11396
b3843,ECK3835
b3843,yigY
b3843,yigC
b3510,hdeA
b3510,yhhC
b3510,ECK3494
b3510,yhiB
b3510,EG11398
b3509,hdeB
b3509,EG11399
b3509,ECK3493
b3509,yhiC
b3509,yhhD
b3508,yhiD
b3508,yhhE
b3508,EG11400
b3508,ECK3492
b0384,psiF
b0384,ECK0379
b0384,EG11401
b4239,treC
b4239,treE
b4239,olgH
b4239,ECK4234
b4239,EG11402
b2502,ppx
b2502,ECK2498
b2502,EG11403
b1203,ychF
b1203,ECK1191
b1203,EG11404
b1203,gtp1
b0887,cydD
b0887,htrD
b0887,EG11405
b0887,ECK0878
b1662,ribC
b1662,ECK1658
b1662,EG11406
b1662,ribE
b1189,dadA
b1189,ECK1177
b1189,dadR
b1189,EG11407
b1190,dadX
b1190,EG11408
b1190,dadB
b1190,alnB
b1190,alnA
b1190,ECK1178
b0915,lpxK
b0915,ECK0906
b0915,EG11409
b0915,ycaH
b4234,yjgA
b4234,ECK4229
b4234,EG11410
b0167,glnD
b0167,ECK0165
b0167,EG11411
b0167,glnD5
b0640,holA
b0640,EG11412
b0640,ECK0633
b4259,holC
b4259,EG11413
b4259,ECK4252
b4372,holD
b4372,ECK4363
b4372,EG11414
b0812,dps
b0812,vtm
b0812,ECK0801
b0812,EG11415
b0812,pexB
b4238,nrdD
b4238,EG11417
b4238,ECK4233
b2065,dcd
b2065,paxA
b2065,EG11418
b2065,dus
b2065,ECK2059
b2182,bcr
b2182,suxA
b2182,sur
b2182,bicR
b2182,bicA
b2182,ECK2176
b2182,EG11419
b0338,cynR
